Year,Start,End,Days,BoatDays,NetSets,TotHours,SoakTime,AvgMinSet,SDMinSet,ANS_days,ANS_boatdays,NFH
1954,3-Aug,19-Nov,34,34,34,0,NA,NA,NA,1,1,0
1955,21-Jan,21-Jan,1,1,1,0,NA,NA,NA,1,1,0
1967,25-Sep,7-Nov,23,23,23,0,NA,NA,NA,1,1,0
1968,16-Sep,22-Nov,23,23,68,0,53,NA,NA,2.956521739,2.956521739,10460.0225
1974,4-Sep,14-Nov,44,44,125,0,95,NA,NA,2.840909091,2.840909091,30264.575
1979,12-Sep,13-Nov,39,39,98,0,102,NA,NA,2.512820513,2.512820513,25619.625
1984,5-Sep,2-Oct,19,19,76,0,69,NA,NA,4,4,12145.1625
1985,5-Sep,23-Oct,32,32,107,0,78,NA,NA,3.34375,3.34375,21998.98
1987,9-Sep,6-Nov,39,39,147,0,60,NA,NA,3.769230769,3.769230769,24221.645
1990,6-Sep,1-Nov,38,38,129,0,77,NA,NA,3.394736842,3.394736842,26292.025
1991,5-Sep,1-Nov,36,36,104,0,90,NA,NA,2.888888889,2.888888889,24143.295
1993,7-Sep,29-Oct,35,35,107,0,83,NA,NA,3.057142857,3.057142857,23046.1125
1994,6-Sep,28-Oct,38,38,132,0,83,NA,NA,3.473684211,3.473684211,28602.995
1997,3-Sep,31-Oct,37,37,112,0,87,NA,NA,3.027027027,3.027027027,25469.08
1998,3-Sep,30-Oct,34,34,111,0,79,NA,NA,3.264705882,3.264705882,23043.85
2001,6-Aug,31-Oct,59,59,191,0,84,NA,NA,3.237288136,3.237288136,41479.16875
2002,19-Aug,1-Nov,51,51,135,0,86,NA,NA,2.647058824,2.647058824,29950.3575
2005,7-Sep,27-Oct,25,25,79,0,88,NA,NA,3.16,3.16,18011.17
2006,2-Aug,30-Oct,43,65,212,273,71,78,20.5,4.930232558,3.261538462,39057.98667
2007,3-Aug,25-Oct,46,82,332,298,50,54,12.8,7.217391304,4.048780488,25076.66667
2008,11-Aug,29-Oct,56,56,249,232,52,56,9.9,4.446428571,4.446428571,19071.45833
2009,10-Aug,27-Oct,40,69,364,311,48,52,12.3,9.1,5.275362319,25527.35833
2010,4-Aug,27-Oct,45,64,320,256,45,49,9.4,7.111111111,5,21086.25667
2011,1-Aug,25-Oct,48,80,400,320,45,48,8.1,8.333333333,5,26823.4
2012,1-Aug,30-Oct,38,60,290,238,45,49,9.6,7.631578947,4.833333333,19649.76667
2013,7-Aug,23-Oct,39,44,211,156,41,45,9.3,5.41025641,4.795454545,13411.35
2014,6-Aug,22-Oct,43,77,399,281,39,43,6.6,9.279069767,5.181818182,24687.75333
